id,category,question,answer
694,use_cases,How do sales reps in professional services use Bellrock CRM?,"Sales reps at professional services companies typically use Bellrock CRM to manage a high-velocity pipeline, track every prospect touchpoint and automate hand-offs between SDR, AE and CSM. professional services-specific pipeline templates ship in the marketplace."
695,pricing,How do I get a quote for Enterprise?,Contact sales@bellrock.example or book a call at calendly.com/bellrock-sales. Quotes are typically returned within two business days.
696,features,How does Bellrock CRM's forecasting work?,Bellrock CRM provides weighted forecasting with manual overrides and historical trend analysis. The capability is included on the Growth plan and above and configurable per workspace.
697,integrations,Does Bellrock CRM integrate with Google Meet?,Yes. The Google Meet integration is native and installed from Settings → Marketplace. It supports two-way sync for the standard objects.
698,onboarding,Can I bulk-update records after import?,Yes — Settings → Imports → Bulk Update accepts CSV with an `id` column to update existing records in place.
699,api,Are there webhooks for /automations events?,"Yes — every create, update and delete on /automations can fan out to a webhook endpoint. Configure subscribers under Settings → API → Webhooks."
700,features,How does Bellrock CRM's data import wizard work?,Bellrock CRM provides CSV/XLSX import with column mapping and rollback. The capability is included on the Growth plan and above and configurable per workspace.
701,api,Does /dashboards support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /dashboards. Responses include `next_cursor` in the envelope when more results are available.
702,features,How does Bellrock CRM's two-way email sync work?,Bellrock CRM provides bidirectional sync with Gmail and Outlook 365. The capability is included on the Growth plan and above and configurable per workspace.
703,reporting,Can I drill down from a chart?,"Yes — clicking a bar, slice or line opens the underlying record list, fully filtered to the selected segment."
704,api,Does /exports support pagination?,Yes — pass `?limit=100&cursor=...` for cursor pagination on /exports. Responses include `next_cursor` in the envelope when more results are available.
705,onboarding,How do I configure deal stages?,"Settings → Pipelines → [Pipeline] → Stages. Each stage has a probability, a default duration and optional required fields."
706,troubleshooting,How do I fix 'report shows wrong totals'?,"If you're hitting 'report shows wrong totals', first check Settings → System → Health for an active incident. Common fixes: re-authorize the integration, clear browser cache and cookies, retry the operation. If the issue persists, open a ticket with your workspace ID, the time of the failure and a screenshot — support typically responds within four business hours on Pro and one business hour on Enterprise."
707,integrations,Where do I troubleshoot Zoom sync errors?,Settings → Integrations → Zoom → Health surfaces the last 100 errors with a Retry button. Persistent 401 errors usually mean the auth token was revoked on the Zoom side.
708,features,Can I customize quote builder in Bellrock CRM?,"Yes — admins configure quote builder under Settings → Workflow → Quote Builder. Common customizations include thresholds, custom-field mappings and per-team overrides."
709,integrations,What syncs between Bellrock CRM and SAP?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with SAP. Conflict resolution defaults to last-write-wins, configurable per object."
710,integrations,What syncs between Bellrock CRM and Aircall?,"Contacts, companies, deals, activities and custom fields sync bidirectionally with Aircall. Conflict resolution defaults to last-write-wins, configurable per object."
711,features,Can workflow automation be disabled per user?,Yes. Admins can disable workflow automation for specific roles or individual users under Settings → Users → Permissions.
712,features,Can I customize territory management in Bellrock CRM?,"Yes — admins configure territory management under Settings → Workflow → Territory Management. Common customizations include thresholds, custom-field mappings and per-team overrides."
713,use_cases,Can you share a customer story for media customer success teams?,"Several media customers run their full revenue cycle on Bellrock CRM. A typical customer success teams success story is a 30%+ uplift in pipeline coverage and a halving of admin time within the first quarter, as documented at bellrock.example/customers/media."
714,use_cases,Is Bellrock CRM a good fit for retail sales reps?,"Bellrock CRM is widely used by sales reps in retail. Common reasons cited are the retail field templates, the no-code automation builder and the granular permissions model that supports regulated workflows."
